Compagnie|Ville|Voie de sortie
Burrowes|Boucherville|TI
Ebcinc|Montréal|TI
Loutec|Montréal|TI
S3Tech|Montréal|TI
Skytech|Montréal|TI
Desjardins|Montréal|TI
mel.ca|Montréal|Prog
AppCom|Longueuil|Prog
Desjardins|Montréal|Prog
LotoQuébec|Montréal|Prog
Skytech|Montréal|Prog
Hydro|Montréal|Prog
Sofutech|Longueuil|Prog
SQLNext|St Hubert|Prog
Cosior|Boucherville|TI
Cosior|Boucherville|Prog
Tarkett|Saint-Laurent|Prog
Uniksim|Longueuil|Prog
Agropur|St Hubert|TI
BMR|Boucherville|TI
IPConsul|Varennes|TI
LotoQuébec|Montréal|TI